year,state,state_po,office,district,candidate,party,writein,candidatevotes,totalvotes,percentvotes
1992,FLORIDA,FL,US HOUSE,11,JOE DE MINICO,INDEPENDENT,FALSE,12730,191354,0.066525915
1992,FLORIDA,FL,US HOUSE,11,MARK SHARPE,REPUBLICAN,FALSE,77640,191354,0.405740147
1992,FLORIDA,FL,US HOUSE,11,SAM GIBBONS,DEMOCRAT,FALSE,100984,191354,0.527733938
1992,FLORIDA,FL,US HOUSE,12,CHARLES T CANADY,REPUBLICAN,FALSE,100484,192830,0.521101488
1992,FLORIDA,FL,US HOUSE,12,TOM MIMS,DEMOCRAT,FALSE,92346,192830,0.478898512
1992,FLORIDA,FL,US HOUSE,13,DAN MILLER,REPUBLICAN,FALSE,158881,274648,0.578489558
1992,FLORIDA,FL,US HOUSE,13,RAND SNELL,DEMOCRAT,FALSE,115767,274648,0.421510442
1992,FLORIDA,FL,US HOUSE,14,JAMES H KING,INDEPENDENT,FALSE,48160,268511,0.179359505
1992,FLORIDA,FL,US HOUSE,14,PORTER J GOSS,REPUBLICAN,FALSE,220351,268511,0.820640495
1992,FLORIDA,FL,US HOUSE,15,BILL TOLLEY,REPUBLICAN,FALSE,128873,261285,0.493227702
1992,FLORIDA,FL,US HOUSE,15,JIM BACCHUS,DEMOCRAT,FALSE,132412,261285,0.506772298
1992,FLORIDA,FL,US HOUSE,16,JOHN P COMERFORD,DEMOCRAT,FALSE,101237,258559,0.391543129
1992,FLORIDA,FL,US HOUSE,16,TOM LEWIS,REPUBLICAN,FALSE,157322,258559,0.608456871
1992,FLORIDA,FL,US HOUSE,17,CARRIE P MEEK,DEMOCRAT,FALSE,102784,102799,0.999854084
1992,FLORIDA,FL,US HOUSE,17,WRITEIN,,TRUE,15,102799,0.000145916
1992,FLORIDA,FL,US HOUSE,18,ILEANA ROS-LEHTINEN,REPUBLICAN,FALSE,104755,156897,0.667667323
1992,FLORIDA,FL,US HOUSE,18,MAGDA MONTIEL DAVIS,DEMOCRAT,FALSE,52142,156897,0.332332677
1992,FLORIDA,FL,US HOUSE,19,HARRY JOHNSTON,DEMOCRAT,FALSE,177423,281294,0.630738658
1992,FLORIDA,FL,US HOUSE,19,LARRY METZ,REPUBLICAN,FALSE,103867,281294,0.369247122
1992,FLORIDA,FL,US HOUSE,19,WRITEIN,,TRUE,4,281294,1.422E-05
1992,FLORIDA,FL,US HOUSE,20,BEVERLY KENNEDY,REPUBLICAN,FALSE,91589,237889,0.385007293
1992,FLORIDA,FL,US HOUSE,20,JAMES M BLACKBURN,INDEPENDENT,FALSE,15341,237889,0.06448806
1992,FLORIDA,FL,US HOUSE,20,PETER DEUTSCH,DEMOCRAT,FALSE,130959,237889,0.550504647
1992,FLORIDA,FL,US HOUSE,21,LINCOLN DIAZ-BALART,REPUBLICAN,FALSE,1,1,1
1992,FLORIDA,FL,US HOUSE,22,BERNARD ANSCHER,INDEPENDENT,FALSE,5274,247088,0.021344622
1992,FLORIDA,FL,US HOUSE,22,E CLAY SHAW JR,REPUBLICAN,FALSE,128400,247088,0.519652917
1992,FLORIDA,FL,US HOUSE,22,GWEN MARGOLIS,DEMOCRAT,FALSE,91625,247088,0.370819303
1992,FLORIDA,FL,US HOUSE,22,MICAHEL F PETRIE,INDEPENDENT,FALSE,6312,247088,0.025545555
1992,FLORIDA,FL,US HOUSE,22,"RICHARD ""EVEN"" STEPHENS",INDEPENDENT,FALSE,15469,247088,0.062605226
1992,FLORIDA,FL,US HOUSE,22,WRITEIN,,TRUE,8,247088,3.23771E-05
1992,FLORIDA,FL,US HOUSE,23,AL WOOD,INDEPENDENT,FALSE,14879,143935,0.10337305
1992,FLORIDA,FL,US HOUSE,23,ALCEE L HASTINGS,DEMOCRAT,FALSE,84249,143935,0.58532671
1992,FLORIDA,FL,US HOUSE,23,ED FIELDING,REPUBLICAN,FALSE,44807,143935,0.31130024
1992,GEORGIA,GA,US HOUSE,1,BARBARA CHRISTMAS,DEMOCRAT,FALSE,75808,179740,0.421764771
1992,GEORGIA,GA,US HOUSE,1,JACK KINGSTON,REPUBLICAN,FALSE,103932,179740,0.578235229
1992,GEORGIA,GA,US HOUSE,2,JIM DUDLEY,REPUBLICAN,FALSE,54593,150382,0.36302882
1992,GEORGIA,GA,US HOUSE,2,SANFORD D BISHOP JR,DEMOCRAT,FALSE,95789,150382,0.63697118
1992,GEORGIA,GA,US HOUSE,3,"MICHAEL A ""MAC"" COLLINS",REPUBLICAN,FALSE,114107,208378,0.547596195
1992,GEORGIA,GA,US HOUSE,3,RICHARD RAY,DEMOCRAT,FALSE,94271,208378,0.452403805
1992,GEORGIA,GA,US HOUSE,4,CATHEY STEINBERG,DEMOCRAT,FALSE,123819,250314,0.494654714
1992,GEORGIA,GA,US HOUSE,4,JOHN LINDER,REPUBLICAN,FALSE,126495,250314,0.505345286
1992,GEORGIA,GA,US HOUSE,5,JOHN LEWIS,DEMOCRAT,FALSE,147445,204407,0.721330483
1992,GEORGIA,GA,US HOUSE,5,PAUL STABLER,REPUBLICAN,FALSE,56960,204407,0.278659733
1992,GEORGIA,GA,US HOUSE,5,WRITEIN,,TRUE,2,204407,9.7844E-06
1992,GEORGIA,GA,US HOUSE,6,NEWT GINGRICH,REPUBLICAN,FALSE,158761,274957,0.577403012
1992,GEORGIA,GA,US HOUSE,6,TONY CENTER,DEMOCRAT,FALSE,116196,274957,0.422596988
1992,GEORGIA,GA,US HOUSE,7,AL BEVERLY,REPUBLICAN,FALSE,82915,194289,0.426761165
1992,GEORGIA,GA,US HOUSE,7,"GEORGE ""BUDDY"" DARDEN",DEMOCRAT,FALSE,111374,194289,0.573238835
1992,GEORGIA,GA,US HOUSE,8,BOB CUNNINGHAM,REPUBLICAN,FALSE,86220,194692,0.442853327
1992,GEORGIA,GA,US HOUSE,8,J ROY ROWLAND,DEMOCRAT,FALSE,108472,194692,0.557146673
1992,GEORGIA,GA,US HOUSE,9,DANIEL BECKER,REPUBLICAN,FALSE,77919,190943,0.408074661
1992,GEORGIA,GA,US HOUSE,9,NATHAN DEAL,DEMOCRAT,FALSE,113024,190943,0.591925339
1992,GEORGIA,GA,US HOUSE,10,DON JOHNSON,DEMOCRAT,FALSE,108426,201485,0.538134352
1992,GEORGIA,GA,US HOUSE,10,RALPH HUDGENS,REPUBLICAN,FALSE,93059,201485,0.461865648
1992,GEORGIA,GA,US HOUSE,11,CYNTHIA A MCKINNEY,DEMOCRAT,FALSE,120168,164400,0.730948905
1992,GEORGIA,GA,US HOUSE,11,WOODROW LOVETT,REPUBLICAN,FALSE,44221,164400,0.268984185
1992,GEORGIA,GA,US HOUSE,11,WRITEIN,,TRUE,11,164400,6.691E-05
1992,HAWAII,HI,US HOUSE,1,NEIL ABERCROMBIE,DEMOCRAT,FALSE,129332,177476,0.728729518
1992,HAWAII,HI,US HOUSE,1,ROCKNE HART JONHSON,LIBERTARIAN,FALSE,6569,177476,0.037013455
1992,HAWAII,HI,US HOUSE,1,WARNER SUTTON,REPUBLICAN,FALSE,41575,177476,0.234257026
1992,HAWAII,HI,US HOUSE,2,KAMUELA PRICE,REPUBLICAN,FALSE,40070,180955,0.221436269
1992,HAWAII,HI,US HOUSE,2,LLOYD JEFF MALLAN,LIBERTARIAN,FALSE,9431,180955,0.05211793
1992,HAWAII,HI,US HOUSE,2,PATSY T MINK,DEMOCRAT,FALSE,131454,180955,0.726445801
1992,IDAHO,ID,US HOUSE,1,"HENRY ""SONNY"" KINSEY",INDEPENDENT,FALSE,4567,242890,0.01880275
1992,IDAHO,ID,US HOUSE,1,JOHN ABEL,INDEPENDENT,FALSE,6355,242890,0.026164107
1992,IDAHO,ID,US HOUSE,1,LARRY LAROCCO,DEMOCRAT,FALSE,140985,242890,0.580447939
1992,IDAHO,ID,US HOUSE,1,RACHEL S GILBERT,REPUBLICAN,FALSE,90983,242890,0.374585203
1992,IDAHO,ID,US HOUSE,2,DAVID WILLIAM MANSFIELD,INDEPENDENT,FALSE,3807,229957,0.016555269
1992,IDAHO,ID,US HOUSE,2,J D WILLIAMS,DEMOCRAT,FALSE,81450,229957,0.354196654
1992,IDAHO,ID,US HOUSE,2,MICHAEL D CRAPO,REPUBLICAN,FALSE,139783,229957,0.607865818
1992,IDAHO,ID,US HOUSE,2,STEVEN L KAUER,INDEPENDENT,FALSE,4917,229957,0.021382258
1992,ILLINOIS,IL,US HOUSE,1,BOBBY L RUSH,DEMOCRAT,FALSE,209258,252711,0.828052598
1992,ILLINOIS,IL,US HOUSE,1,JAY WALKER,REPUBLICAN,FALSE,43453,252711,0.171947402
1992,ILLINOIS,IL,US HOUSE,2,LOUANNER PETERS,LOUANNER PETERS PARTY,FALSE,19293,233864,0.082496665
1992,ILLINOIS,IL,US HOUSE,2,MEL REYNOLDS,DEMOCRAT,FALSE,182614,233864,0.78085554
1992,ILLINOIS,IL,US HOUSE,2,RON BLACKSTONE,REPUBLICAN,FALSE,31957,233864,0.136647795
1992,ILLINOIS,IL,US HOUSE,3,HARRY C LEPINSKE,REPUBLICAN,FALSE,93128,255293,0.364788694
1992,ILLINOIS,IL,US HOUSE,3,WILLIAM O LIPINSKI,DEMOCRAT,FALSE,162165,255293,0.635211306
1992,ILLINOIS,IL,US HOUSE,4,HILDEGARDE RODRIGUEZ-SCHIEMAN,REPUBLICAN,FALSE,26154,116606,0.224293776
1992,ILLINOIS,IL,US HOUSE,4,LUIS V GUTIERREZ,DEMOCRAT,FALSE,90452,116606,0.775706224
1992,ILLINOIS,IL,US HOUSE,5,BLAISE C GRENKE,LIBERTARIAN,FALSE,8456,232083,0.036435241
1992,ILLINOIS,IL,US HOUSE,5,DAN ROSTENKOWSKI,DEMOCRAT,FALSE,132889,232083,0.572592564
1992,ILLINOIS,IL,US HOUSE,5,ELIAS R ZENKICH,REPUBLICAN,FALSE,90738,232083,0.390972195
1992,ILLINOIS,IL,US HOUSE,6,BARRY W WATKINS,DEMOCRAT,FALSE,86891,251904,0.34493696
1992,ILLINOIS,IL,US HOUSE,6,HENRY J HYDE,REPUBLICAN,FALSE,165009,251904,0.655047161
1992,ILLINOIS,IL,US HOUSE,6,WRITEIN,,TRUE,4,251904,1.58791E-05
1992,ILLINOIS,IL,US HOUSE,7,CARDISS COLLINS,DEMOCRAT,FALSE,182811,225281,0.811479885
1992,ILLINOIS,IL,US HOUSE,7,GERI KNOLL MCLAUCHLAN,NATURAL LAW,FALSE,2413,225281,0.010711068
1992,ILLINOIS,IL,US HOUSE,7,NORMAN G BOCCIO,REPUBLICAN,FALSE,35346,225281,0.156897386
1992,ILLINOIS,IL,US HOUSE,7,ROSE-MARIE LOVE,RECOVERY,FALSE,4711,225281,0.020911661
1992,ILLINOIS,IL,US HOUSE,8,JOE M DILLIER,INDEPENDENT CONGRESSIONAL,FALSE,9327,238633,0.039085122
1992,ILLINOIS,IL,US HOUSE,8,PHILIP M CRANE,REPUBLICAN,FALSE,132887,238633,0.556867659
1992,ILLINOIS,IL,US HOUSE,8,SHEILA A SMITH,DEMOCRAT,FALSE,96419,238633,0.404047219
1992,ILLINOIS,IL,US HOUSE,9,HERB SOHN,REPUBLICAN,FALSE,64760,239703,0.270167666
1992,ILLINOIS,IL,US HOUSE,9,SHEILA A JONES,ECONOMIC RECOVERY,FALSE,12001,239703,0.050066123
1992,ILLINOIS,IL,US HOUSE,9,SIDNEY R YATES,DEMOCRAT,FALSE,162942,239703,0.679766211
1992,ILLINOIS,IL,US HOUSE,10,JOHN EDWARD PORTER,REPUBLICAN,FALSE,155230,240630,0.645098284
1992,ILLINOIS,IL,US HOUSE,10,MICHAEL J KENNEDY,DEMOCRAT,FALSE,85400,240630,0.354901716
1992,ILLINOIS,IL,US HOUSE,11,GEORGE E SANGMEISTER,DEMOCRAT,FALSE,135387,243247,0.556582404
1992,ILLINOIS,IL,US HOUSE,11,ROBERT T HERBOLSHEIMER,REPUBLICAN,FALSE,107860,243247,0.443417596
1992,ILLINOIS,IL,US HOUSE,12,JERRY F COSTELLO,DEMOCRAT,FALSE,168762,236877,0.7124457
1992,ILLINOIS,IL,US HOUSE,12,MIKE STARR,REPUBLICAN,FALSE,68115,236877,0.2875543
1992,ILLINOIS,IL,US HOUSE,13,DENNIS MICHAEL TEMPLE,DEMOCRAT,FALSE,82985,262255,0.316428667
1992,ILLINOIS,IL,US HOUSE,13,HARRIS W FAWELL,REPUBLICAN,FALSE,179257,262255,0.683521763
1992,ILLINOIS,IL,US HOUSE,13,WRITEIN,,TRUE,13,262255,4.95701E-05
1992,ILLINOIS,IL,US HOUSE,14,J DENNIS HASTERT,REPUBLICAN,FALSE,155271,230624,0.673264708
1992,ILLINOIS,IL,US HOUSE,14,JONATHAN ABRAM REICH,DEMOCRAT,FALSE,75294,230624,0.326479464
1992,ILLINOIS,IL,US HOUSE,14,WRITEIN,,TRUE,59,230624,0.000255828
1992,ILLINOIS,IL,US HOUSE,15,CHARLES D MATTIS,DEMOCRAT,FALSE,97190,239586,0.405658094
1992,ILLINOIS,IL,US HOUSE,15,THOMAS W EWING,REPUBLICAN,FALSE,142167,239586,0.593386091
1992,ILLINOIS,IL,US HOUSE,15,WRITEIN,,TRUE,229,239586,0.000955815
1992,ILLINOIS,IL,US HOUSE,16,DONALD A MANZULLO,REPUBLICAN,FALSE,142388,255943,0.556326995
1992,ILLINOIS,IL,US HOUSE,16,JOHN W COX JR,DEMOCRAT,FALSE,113555,255943,0.443673005
1992,ILLINOIS,IL,US HOUSE,17,KEN SCHLOEMER,REPUBLICAN,FALSE,103719,259952,0.398992891
1992,ILLINOIS,IL,US HOUSE,17,LANE EVANS,DEMOCRAT,FALSE,156233,259952,0.601007109
1992,ILLINOIS,IL,US HOUSE,18,ROBERT H MICHEL,REPUBLICAN,FALSE,156533,270976,0.577663705
1992,ILLINOIS,IL,US HOUSE,18,RONALD C HAWKINS,DEMOCRAT,FALSE,114413,270976,0.422225585
1992,ILLINOIS,IL,US HOUSE,18,WRITEIN,,TRUE,30,270976,0.000110711
1992,ILLINOIS,IL,US HOUSE,19,DOUGLAS E LEE,REPUBLICAN,FALSE,83526,270685,0.308572695
1992,ILLINOIS,IL,US HOUSE,19,GLENN POSHARD,DEMOCRAT,FALSE,187156,270685,0.691416222
1992,ILLINOIS,IL,US HOUSE,19,WRITEIN,,TRUE,3,270685,1.1083E-05
1992,ILLINOIS,IL,US HOUSE,20,JOHN M SHIMKUS,REPUBLICAN,FALSE,119219,274088,0.434966142
1992,ILLINOIS,IL,US HOUSE,20,RICHARD J DURBIN,DEMOCRAT,FALSE,154869,274088,0.565033858
1992,INDIANA,IN,US HOUSE,1,DAVID J VUCICH,REPUBLICAN,FALSE,64770,211824,0.305772717
1992,INDIANA,IN,US HOUSE,1,PETER J VISCLOSKY,DEMOCRAT,FALSE,147054,211824,0.694227283
1992,INDIANA,IN,US HOUSE,2,PHILIP R SHARP,DEMOCRAT,FALSE,130881,229295,0.570797444
1992,INDIANA,IN,US HOUSE,2,"THEODORE ""TED"" SHAVER",INDEPENDENT,FALSE,7821,229295,0.034108899
1992,INDIANA,IN,US HOUSE,2,WILLIAM G FRAZIER,REPUBLICAN,FALSE,90593,229295,0.395093657
1992,INDIANA,IN,US HOUSE,3,CARL H BAXMEYER,REPUBLICAN,FALSE,89834,211103,0.425545824
1992,INDIANA,IN,US HOUSE,3,TIM ROEMER,DEMOCRAT,FALSE,121269,211103,0.574454176
1992,INDIANA,IN,US HOUSE,4,"CHARLES W ""CHUCK"" PIERSON",REPUBLICAN,FALSE,82468,217375,0.379381254
1992,INDIANA,IN,US HOUSE,4,JILL L LONG,DEMOCRAT,FALSE,134907,217375,0.620618746
1992,INDIANA,IN,US HOUSE,5,JIM JONTZ,DEMOCRAT,FALSE,107973,220465,0.489751208
1992,INDIANA,IN,US HOUSE,5,STEVEN E BUYER,REPUBLICAN,FALSE,112492,220465,0.510248792
1992,INDIANA,IN,US HOUSE,6,DAN BURTON,REPUBLICAN,FALSE,186499,258455,0.721591766
1992,INDIANA,IN,US HOUSE,6,NATALIE M BRUNER,DEMOCRAT,FALSE,71952,258455,0.278392757
1992,INDIANA,IN,US HOUSE,6,WRITEIN,,TRUE,4,258455,1.54766E-05
1992,INDIANA,IN,US HOUSE,7,ELLEN E WEDUM,DEMOCRAT,FALSE,88005,217194,0.405190751
1992,INDIANA,IN,US HOUSE,7,JOHN T MYERS,REPUBLICAN,FALSE,129189,217194,0.594809249
1992,INDIANA,IN,US HOUSE,8,FRANK MCCLOSKEY,DEMOCRAT,FALSE,125244,238397,0.52535896
1992,INDIANA,IN,US HOUSE,8,JIMMY GALE FUNKHOUSER JR,LIBERTARIAN,FALSE,2001,238397,0.008393562
1992,INDIANA,IN,US HOUSE,8,JOHN W TAYLOR,INDEPENDENT,FALSE,3098,238397,0.01299513
1992,INDIANA,IN,US HOUSE,8,RICHARD E MOURDOCK,REPUBLICAN,FALSE,108054,238397,0.453252348
1992,INDIANA,IN,US HOUSE,9,LEE H HAMILTON,DEMOCRAT,FALSE,160980,231037,0.696771513
1992,INDIANA,IN,US HOUSE,9,MICHAEL E BAILEY,REPUBLICAN,FALSE,70057,231037,0.303228487
1992,INDIANA,IN,US HOUSE,10,ANDREW JACOBS JR,DEMOCRAT,FALSE,117604,183831,0.639739761
1992,INDIANA,IN,US HOUSE,10,CAROLYN P SACKETT,NEW ALLIANCE,FALSE,1849,183831,0.010058151
1992,INDIANA,IN,US HOUSE,10,JANOS HORVATH,REPUBLICAN,FALSE,64378,183831,0.350202088
1992,IOWA,IA,US HOUSE,1,BLANK VOTE/SCATTERING,,FALSE,1667,261309,0.006379421
1992,IOWA,IA,US HOUSE,1,JAMES A LEACH,REPUBLICAN,FALSE,178042,261309,0.681346605
1992,IOWA,IA,US HOUSE,1,JAN J ZONNEVELD,DEMOCRAT,FALSE,81600,261309,0.312273974
1992,IOWA,IA,US HOUSE,2,ALBERT W SCHOEMAN,GRASSROOTS,FALSE,1757,267892,0.006558613
1992,IOWA,IA,US HOUSE,2,BLANK VOTE/SCATTERING,,FALSE,29,267892,0.000108253
1992,IOWA,IA,US HOUSE,2,DAVID R NAGLE,DEMOCRAT,FALSE,131570,267892,0.491130754
1992,IOWA,IA,US HOUSE,2,JIM NUSSLE,REPUBLICAN,FALSE,134536,267892,0.50220238
1992,IOWA,IA,US HOUSE,3,BLANK VOTE/SCATTERING,,FALSE,101,257276,0.000392575
1992,IOWA,IA,US HOUSE,3,ELAINE BAXTER,DEMOCRAT,FALSE,121063,257276,0.470556912
1992,IOWA,IA,US HOUSE,3,JIM LIGHTFOOT,REPUBLICAN,FALSE,125931,257276,0.489478226
1992,IOWA,IA,US HOUSE,3,LARRY CHROMAN,NATURAL LAW,FALSE,10181,257276,0.039572288
1992,IOWA,IA,US HOUSE,4,BLANK VOTE/SCATTERING,,FALSE,152,257593,0.000590078
1992,IOWA,IA,US HOUSE,4,JERRY YELLIN,NATURAL LAW,FALSE,2427,257593,0.00942184
1992,IOWA,IA,US HOUSE,4,NEAL SMITH,DEMOCRAT,FALSE,158610,257593,0.615738782
1992,IOWA,IA,US HOUSE,4,PAUL LUNDE,REPUBLICAN,FALSE,94045,257593,0.365091443
1992,IOWA,IA,US HOUSE,4,WILLIAM C OVIATT,GRASSROOTS,FALSE,2359,257593,0.009157858
1992,IOWA,IA,US HOUSE,5,BLANK VOTE/SCATTERING,,FALSE,1424,198366,0.00717865
1992,IOWA,IA,US HOUSE,5,FRED GRANDY,REPUBLICAN,FALSE,196942,198366,0.99282135
1992,KANSAS,KS,US HOUSE,1,DUANE WEST,DEMOCRAT,FALSE,83620,285297,0.29309807
1992,KANSAS,KS,US HOUSE,1,PAT ROBERTS,REPUBLICAN,FALSE,194912,285297,0.683189799
1992,KANSAS,KS,US HOUSE,1,STEVEN A ROSILE,LIBERTARIAN,FALSE,6765,285297,0.023712132
1992,KANSAS,KS,US HOUSE,2,ARTHUR L CLACK,LIBERTARIAN,FALSE,7986,268806,0.029709158
1992,KANSAS,KS,US HOUSE,2,JIM SLATTERY,DEMOCRAT,FALSE,151019,268806,0.561814096
1992,KANSAS,KS,US HOUSE,2,JIM VAN SLYKE,REPUBLICAN,FALSE,109801,268806,0.408476745
1992,KANSAS,KS,US HOUSE,3,FRANK KAUL,LIBERTARIAN,FALSE,12791,292791,0.043686452
1992,KANSAS,KS,US HOUSE,3,JAN MEYERS,REPUBLICAN,FALSE,169929,292791,0.580376446
1992,KANSAS,KS,US HOUSE,3,TOM LOVE,DEMOCRAT,FALSE,110071,292791,0.375937102
1992,KANSAS,KS,US HOUSE,4,DAN GLICKMAN,DEMOCRAT,FALSE,143671,278016,0.516772416
1992,KANSAS,KS,US HOUSE,4,ERIC R YOST,REPUBLICAN,FALSE,117070,278016,0.421090872
1992,KANSAS,KS,US HOUSE,4,SETH L WARREN,LIBERTARIAN,FALSE,17275,278016,0.062136712
1992,KENTUCKY,KY,US HOUSE,1,MARVIN SEAT,REFORM,FALSE,962,212574,0.004525483
1992,KENTUCKY,KY,US HOUSE,1,STEVE HAMRICK,REPUBLICAN,FALSE,83088,212574,0.39086624
1992,KENTUCKY,KY,US HOUSE,1,THOMAS J BARLOW III,DEMOCRAT,FALSE,128524,212574,0.604608278
1992,KENTUCKY,KY,US HOUSE,2,BRUCE R BARTLEY,REPUBLICAN,FALSE,79684,206578,0.385733234
1992,KENTUCKY,KY,US HOUSE,2,WILLIAM H NATCHER,DEMOCRAT,FALSE,126894,206578,0.614266766
1992,KENTUCKY,KY,US HOUSE,3,ROMANO L MAZZOLI,DEMOCRAT,FALSE,148066,280770,0.527356911
1992,KENTUCKY,KY,US HOUSE,3,SUSAN B STOKES,REPUBLICAN,FALSE,132689,280770,0.472589664
1992,KENTUCKY,KY,US HOUSE,3,WRITEIN,,TRUE,15,280770,5.34245E-05
1992,KENTUCKY,KY,US HOUSE,4,FLOYD G POORE,DEMOCRAT,FALSE,86890,226524,0.383579665
1992,KENTUCKY,KY,US HOUSE,4,JIM BUNNING,REPUBLICAN,FALSE,139634,226524,0.616420335
1992,KENTUCKY,KY,US HOUSE,5,HAROLD ROGERS,REPUBLICAN,FALSE,115255,211015,0.546193399
1992,KENTUCKY,KY,US HOUSE,5,JOHN DOUG HAYES,DEMOCRAT,FALSE,95760,211015,0.453806601
1992,KENTUCKY,KY,US HOUSE,6,CHARLES W ELLINGER,REPUBLICAN,FALSE,87816,223450,0.393000671
1992,KENTUCKY,KY,US HOUSE,6,SCOTTY BAESLER,DEMOCRAT,FALSE,135613,223450,0.606905348
1992,KENTUCKY,KY,US HOUSE,6,WRITEIN,,TRUE,21,223450,9.39808E-05
1992,LOUISIANA,LA,US HOUSE,1,BOB LIVINGSTON,REPUBLICAN,FALSE,1,1,1
1992,LOUISIANA,LA,US HOUSE,2,WILLIAM J JEFFERSON,DEMOCRAT,FALSE,1,1,1
1992,LOUISIANA,LA,US HOUSE,3,"W J ""BILLY"" TAUZIN",DEMOCRAT,FALSE,1,1,1
1992,LOUISIANA,LA,US HOUSE,4,CHARLES JONES,DEMOCRAT,FALSE,50851,194831,0.261000559
1992,LOUISIANA,LA,US HOUSE,4,CLEO FIELDS,DEMOCRAT,FALSE,143980,194831,0.738999441
1992,LOUISIANA,LA,US HOUSE,5,JERRY HUCKABY,DEMOCRAT,FALSE,90079,243580,0.369812793
1992,LOUISIANA,LA,US HOUSE,5,JIM MCCRERY,REPUBLICAN,FALSE,153501,243580,0.630187207
1992,LOUISIANA,LA,US HOUSE,6,CLYDE C WOLLOWAY,REPUBLICAN,FALSE,121225,245178,0.494436695
1992,LOUISIANA,LA,US HOUSE,6,RICHARD H BAKER,REPUBLICAN,FALSE,123953,245178,0.505563305
1992,LOUISIANA,LA,US HOUSE,7,JAMES A HAYES,DEMOCRAT,FALSE,1,1,1
1992,MAINE,ME,US HOUSE,1,LINDA BEAN,REPUBLICAN,FALSE,125236,358148,0.34967667
1992,MAINE,ME,US HOUSE,1,OTHER,,FALSE,216,358148,0.000603103
1992,MAINE,ME,US HOUSE,1,THOMAS H ANDREWS,DEMOCRAT,FALSE,232696,358148,0.649720227
1992,MAINE,ME,US HOUSE,2,JONATHAN K CARTER,GREEN,FALSE,27526,311433,0.088384982
1992,MAINE,ME,US HOUSE,2,OLYMPIA J SNOWE,REPUBLICAN,FALSE,153022,311433,0.491348059
1992,MAINE,ME,US HOUSE,2,OTHER,,FALSE,61,311433,0.000195869
1992,MAINE,ME,US HOUSE,2,PATRICK K MCGOWAN,DEMOCRAT,FALSE,130824,311433,0.420071091
1992,MARYLAND,MD,US HOUSE,1,C THOMAS MCMILLEN,DEMOCRAT,FALSE,112771,232855,0.484297095
1992,MARYLAND,MD,US HOUSE,1,WAYNE T GILCHREST,REPUBLICAN,FALSE,120084,232855,0.515702905
1992,MARYLAND,MD,US HOUSE,2,HELEN DELICH BENTLEY,REPUBLICAN,FALSE,165443,254101,0.651091495
1992,MARYLAND,MD,US HOUSE,2,MICAHEL C HICKEY JR,DEMOCRAT,FALSE,88658,254101,0.348908505
1992,MARYLAND,MD,US HOUSE,3,BENJAMIN L CARDIN,DEMOCRAT,FALSE,163354,222223,0.735090427
1992,MARYLAND,MD,US HOUSE,3,WILLIAM T S BRICKER,REPUBLICAN,FALSE,58869,222223,0.264909573
1992,MARYLAND,MD,US HOUSE,4,ALBERT RUSSELL WYNN,DEMOCRAT,FALSE,136902,182068,0.751927851
1992,MARYLAND,MD,US HOUSE,4,MICHELE DYSON,REPUBLICAN,FALSE,45166,182068,0.248072149
1992,MARYLAND,MD,US HOUSE,5,LAWRENCE J HOGAN JR,REPUBLICAN,FALSE,97982,223284,0.438822307
1992,MARYLAND,MD,US HOUSE,5,STENY H HOYER,DEMOCRAT,FALSE,118312,223284,0.52987227
1992,MARYLAND,MD,US HOUSE,5,WILLIAM D JOHNSTON III,REPUBLICAN,FALSE,6990,223284,0.031305423
1992,MARYLAND,MD,US HOUSE,6,ROSCOE G BARTLETT,REPUBLICAN,FALSE,125564,231788,0.541719157
1992,MARYLAND,MD,US HOUSE,6,THOMAS H HATTERY,DEMOCRAT,FALSE,106224,231788,0.458280843
1992,MARYLAND,MD,US HOUSE,7,KENNETH KONDNER,REPUBLICAN,FALSE,26304,178993,0.146955468
1992,MARYLAND,MD,US HOUSE,7,KWEISI MFUME,DEMOCRAT,FALSE,152689,178993,0.853044532
1992,MARYLAND,MD,US HOUSE,8,CONSTANCE A MORELLA,REPUBLICAN,FALSE,203377,280419,0.725261127
1992,MARYLAND,MD,US HOUSE,8,EDWARD J HEFFERNAN,DEMOCRAT,FALSE,77042,280419,0.274738873
1992,MASSACHUSETTS,MA,US HOUSE,1,DENNIS M KELLY,PRO-DEMOCRACY REFORM,FALSE,4355,262120,0.016614528
1992,MASSACHUSETTS,MA,US HOUSE,1,JEFFREY W REBELLO,FREEDOM FOR LAROUCHE,FALSE,1598,262120,0.006096444
1992,MASSACHUSETTS,MA,US HOUSE,1,JOHN W OLVER,DEMOCRAT,FALSE,135049,262120,0.515218221
1992,MASSACHUSETTS,MA,US HOUSE,1,LOUIS R GODENA,"PEACE, JOBS, JUSTICE",FALSE,7162,262120,0.027323363
1992,MASSACHUSETTS,MA,US HOUSE,1,OTHER,,FALSE,128,262120,0.000488326
1992,MASSACHUSETTS,MA,US HOUSE,1,PATRICK LARKIN,REPUBLICAN,FALSE,113828,262120,0.434259118
1992,MASSACHUSETTS,MA,US HOUSE,2,ANTHONY W RAVISA JR,REPUBLICAN,FALSE,76795,247163,0.31070589
1992,MASSACHUSETTS,MA,US HOUSE,2,OTHER,,FALSE,190,247163,0.000768723
1992,MASSACHUSETTS,MA,US HOUSE,2,RICHARD E NEAL,DEMOCRAT,FALSE,131215,247163,0.530884477
