year,state,state_po,office,district,candidate,party,writein,candidatevotes,totalvotes,percentvotes
1976,MICHIGAN,MI,US HOUSE,4,DAVID M HILTY,U.S. LABOR,FALSE,124,179737,0.000689897
1976,MICHIGAN,MI,US HOUSE,4,KARL FRISKE,AMERICAN INDEPENDENT,FALSE,1789,179737,0.009953432
1976,MICHIGAN,MI,US HOUSE,4,RICHARD E DAUGHERTY,DEMOCRAT,FALSE,69655,179737,0.387538459
1976,MICHIGAN,MI,US HOUSE,4,RUSSELL SEVERANCE,LIBERTARIAN,FALSE,288,179737,0.001602341
1976,MICHIGAN,MI,US HOUSE,5,GARY D POWELL,U.S. LABOR,FALSE,399,205438,0.001942192
1976,MICHIGAN,MI,US HOUSE,5,HAROLD S SAWYER,REPUBLICAN,FALSE,109589,205438,0.533440746
1976,MICHIGAN,MI,US HOUSE,5,JOE BERMAN,LIBERTARIAN,FALSE,477,205438,0.002321868
1976,MICHIGAN,MI,US HOUSE,5,RICHARD F VANDER VEEN,DEMOCRAT,FALSE,94973,205438,0.462295194
1976,MICHIGAN,MI,US HOUSE,6,ANDREW ROTSTEIN,U.S. LABOR,FALSE,189,206504,0.000915237
1976,MICHIGAN,MI,US HOUSE,6,BOB CARR,DEMOCRAT,FALSE,108909,206504,0.527394142
1976,MICHIGAN,MI,US HOUSE,6,CLIFFORD W TAYLOR,REPUBLICAN,FALSE,96008,206504,0.464920776
1976,MICHIGAN,MI,US HOUSE,6,JAMES F MCCLURE,HUMAN RIGHTS,FALSE,1398,206504,0.006769845
1976,MICHIGAN,MI,US HOUSE,7,BENJAMIN G HOFFMAN,LIBERTARIAN,FALSE,735,177582,0.004138933
1976,MICHIGAN,MI,US HOUSE,7,DALE E KILDEE,DEMOCRAT,FALSE,124260,177582,0.699733081
1976,MICHIGAN,MI,US HOUSE,7,JIMMY L SABIN,AMERICAN INDEPENDENT,FALSE,1451,177582,0.008170873
1976,MICHIGAN,MI,US HOUSE,7,MAX DEAN,U.S. LABOR,FALSE,835,177582,0.004702053
1976,MICHIGAN,MI,US HOUSE,7,ROBIN WIDGERY,REPUBLICAN,FALSE,50301,177582,0.28325506
1976,MICHIGAN,MI,US HOUSE,8,BOB TRAXLER,DEMOCRAT,FALSE,110127,186632,0.590075657
1976,MICHIGAN,MI,US HOUSE,8,CHARLES G JOHNS,AMERICAN INDEPENDENT,FALSE,973,186632,0.005213468
1976,MICHIGAN,MI,US HOUSE,8,DAVID W THILL,U.S. LABOR,FALSE,209,186632,0.001119851
1976,MICHIGAN,MI,US HOUSE,8,E BRADY DENTON,REPUBLICAN,FALSE,75323,186632,0.403591024
1976,MICHIGAN,MI,US HOUSE,9,DELOYD G HESSELINK,AMERICAN INDEPENDENT,FALSE,1021,209701,0.004868837
1976,MICHIGAN,MI,US HOUSE,9,GUY A VANDER JAGT,REPUBLICAN,FALSE,146712,209701,0.699624704
1976,MICHIGAN,MI,US HOUSE,9,JOY POWELL,U.S. LABOR,FALSE,204,209701,0.000972814
1976,MICHIGAN,MI,US HOUSE,9,STEPHEN E FAWLEY,DEMOCRAT,FALSE,61641,209701,0.293947096
1976,MICHIGAN,MI,US HOUSE,9,WM G FRIESSER,SOCIALIST LABOR,FALSE,123,209701,0.000586549
1976,MICHIGAN,MI,US HOUSE,10,DONALD J ALBOSTA,DEMOCRAT,FALSE,89980,210184,0.428101092
1976,MICHIGAN,MI,US HOUSE,10,ELFORD A CEDERBERG,REPUBLICAN,FALSE,118726,210184,0.564866974
1976,MICHIGAN,MI,US HOUSE,10,JOSEPH D D'URSO,U.S. LABOR,FALSE,222,210184,0.001056217
1976,MICHIGAN,MI,US HOUSE,10,LAWRENCE DEAN,AMERICAN INDEPENDENT,FALSE,1256,210184,0.005975717
1976,MICHIGAN,MI,US HOUSE,11,EDWARD W AHO,HUMAN RIGHTS,FALSE,231,217115,0.001063952
