year,state,state_po,office,district,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1982,MASSACHUSETTS,MA,US SENATE,statewide,HOWARD S. KATZ,LIBERTARIAN,FALSE,18878,2050769,0.009205327
1982,MASSACHUSETTS,MA,US SENATE,statewide,RAY SHAMIE,REPUBLICAN,FALSE,784602,2050769,0.382589165
1982,MASSACHUSETTS,MA,US SENATE,statewide,,,TRUE,205,2050769,9.99625E-05
1982,MASSACHUSETTS,MA,US SENATE,statewide,EDWARD M. KENNEDY,DEMOCRAT,FALSE,1247084,2050769,0.608105545
1982,MICHIGAN,MI,US SENATE,statewide,"DONALD W. RIEGLE, JR.",DEMOCRAT,FALSE,1728793,2994334,0.577354764
1982,MICHIGAN,MI,US SENATE,statewide,STEVE BEUMER,SOCIALIST WORKERS,FALSE,4335,2994334,0.001447734
1982,MICHIGAN,MI,US SENATE,statewide,HELEN HALYARD,WORKERS LEAGUE,FALSE,6085,2994334,0.002032171
1982,MICHIGAN,MI,US SENATE,statewide,,,TRUE,42,2994334,1.40265E-05
1982,MICHIGAN,MI,US SENATE,statewide,DANIEL ELLER,AMERICAN INDEPENDENT,FALSE,12660,2994334,0.004227985
1982,MICHIGAN,MI,US SENATE,statewide,PHILIP E. RUPPE,REPUBLICAN,FALSE,1223288,2994334,0.408534252
1982,MICHIGAN,MI,US SENATE,statewide,BETTE ERWIN,LIBERTARIAN,FALSE,19131,2994334,0.006389067
1982,MINNESOTA,MN,US SENATE,statewide,BILL ONASCH,SOCIALIST WORKERS,FALSE,5897,1804675,0.003267624
1982,MINNESOTA,MN,US SENATE,statewide,MARK DAYTON,DEMOCRAT,FALSE,840401,1804675,0.46567997
1982,MINNESOTA,MN,US SENATE,statewide,JEFFREY M. MILLER,NEW UNION,FALSE,3300,1804675,0.001828584
1982,MINNESOTA,MN,US SENATE,statewide,DAVE DURENBERGER,REPUBLICAN,FALSE,949207,1804675,0.525971158
1982,MINNESOTA,MN,US SENATE,statewide,FRED G. HEWITT,LIBERTARIAN,FALSE,5870,1804675,0.003252663
1982,MISSISSIPPI,MS,US SENATE,statewide,JOHN C. STENNIS,DEMOCRAT,FALSE,414099,645026,0.641988075
1982,MISSISSIPPI,MS,US SENATE,statewide,HALEY BARBOUR,REPUBLICAN,FALSE,230927,645026,0.358011925
1982,MISSOURI,MO,US SENATE,statewide,,,TRUE,16,1543521,1.03659E-05
1982,MISSOURI,MO,US SENATE,statewide,HARRIETT WOODS,DEMOCRAT,FALSE,758629,1543521,0.491492503
1982,MISSOURI,MO,US SENATE,statewide,JOHN C. DANFORTH,REPUBLICAN,FALSE,784876,1543521,0.508497131
1982,MONTANA,MT,US SENATE,statewide,LARRY WILLIAMS,REPUBLICAN,FALSE,133789,321062,0.416707676
1982,MONTANA,MT,US SENATE,statewide,JOHN MELCHER,DEMOCRAT,FALSE,174861,321062,0.544633124
1982,MONTANA,MT,US SENATE,statewide,LARRY DODGE,LIBERTARIAN,FALSE,12412,321062,0.0386592
1982,NEBRASKA,NE,US SENATE,statewide,EDWARD ZORINSKY,DEMOCRAT,FALSE,363350,545647,0.665906713
1982,NEBRASKA,NE,US SENATE,statewide,JIM KECK,REPUBLICAN,FALSE,155760,545647,0.28545928
1982,NEBRASKA,NE,US SENATE,statewide,,,TRUE,94,545647,0.000172273
1982,NEBRASKA,NE,US SENATE,statewide,VIRGINIA WALSH,NOMINATED BY PETITION,FALSE,26443,545647,0.048461734
1982,NEVADA,NV,US SENATE,statewide,CHIC HECHT,REPUBLICAN,FALSE,120377,235097,0.512031204
1982,NEVADA,NV,US SENATE,statewide,HOWARD CANNON,DEMOCRAT,FALSE,114720,235097,0.487968796
1982,NEW JERSEY,NJ,US SENATE,statewide,MILLICENT FENWICK,REPUBLICAN,FALSE,1047626,2193945,0.477507868
1982,NEW JERSEY,NJ,US SENATE,statewide,ROSE ZEIDWERG MONYEK,REPEAL TF807 (HR4277-79),FALSE,1830,2193945,0.000834114
1982,NEW JERSEY,NJ,US SENATE,statewide,MARTIN E. WENDELKEN,INDEPENDENT,FALSE,4745,2193945,0.002162771
1982,NEW JERSEY,NJ,US SENATE,statewide,ROBERT T. BASTIEN,GRASSROOTS,FALSE,2955,2193945,0.001346889
1982,NEW JERSEY,NJ,US SENATE,statewide,FRANK R. LAUTENBERG,DEMOCRAT,FALSE,1117549,2193945,0.509378767
1982,NEW JERSEY,NJ,US SENATE,statewide,HENRY KOCH,LIBERTARIAN,FALSE,9934,2193945,0.004527917
1982,NEW JERSEY,NJ,US SENATE,statewide,CLAIRE MORIARTY,SOCIALIST WORKERS,FALSE,3726,2193945,0.001698311
