year,state,state_po,office,district,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1986,SOUTH DAKOTA,SD,US SENATE,statewide,JAMES ABDNOR,REPUBLICAN,FALSE,143173,295830,0.483970524
1986,UTAH,UT,US SENATE,statewide,HUGH A. BUTLER,LIBERTARIAN,FALSE,3023,435111,0.006947652
1986,UTAH,UT,US SENATE,statewide,CRAIG S. OLIVER,DEMOCRAT,FALSE,115523,435111,0.265502366
1986,UTAH,UT,US SENATE,statewide,"E. J. ""JAKE"" GARN",REPUBLICAN,FALSE,314608,435111,0.723052279
1986,UTAH,UT,US SENATE,statewide,MARY ZINS,SOCIALIST WORKERS,FALSE,1863,435111,0.004281666
1986,UTAH,UT,US SENATE,statewide,,,TRUE,94,435111,0.000216037
1986,VERMONT,VT,US SENATE,statewide,DICK SNELLING,REPUBLICAN,FALSE,67798,196532,0.344971811
1986,VERMONT,VT,US SENATE,statewide,PATRICK LEAHY,DEMOCRAT,FALSE,124123,196532,0.631566361
1986,VERMONT,VT,US SENATE,statewide,JERRY LEVY,LIBERTY UNION,FALSE,1583,196532,0.008054668
1986,VERMONT,VT,US SENATE,statewide,ANTHONY N. DORIA,CONSERVATIVE,FALSE,2963,196532,0.015076425
1986,VERMONT,VT,US SENATE,statewide,SCATTER,,FALSE,65,196532,0.000330735
1986,WASHINGTON,WA,US SENATE,statewide,SLADE GORTON,REPUBLICAN,FALSE,650931,1337367,0.486725783
1986,WASHINGTON,WA,US SENATE,statewide,JILL FEIN,SOCIALIST WORKERS,FALSE,8965,1337367,0.00670347
1986,WASHINGTON,WA,US SENATE,statewide,BROCK ADAMS,DEMOCRAT,FALSE,677471,1337367,0.506570747
1986,WISCONSIN,WI,US SENATE,statewide,SCATTER,,FALSE,1212,1483174,0.000817166
1986,WISCONSIN,WI,US SENATE,statewide,EUGENE A. HEM,THIRD PARTY,FALSE,2234,1483174,0.001506229
1986,WISCONSIN,WI,US SENATE,statewide,PETER Y. TAYLOR SR.,INDEPENDENT,FALSE,19266,1483174,0.01298971
1986,WISCONSIN,WI,US SENATE,statewide,MARGO STORSTEEN,SOCIALIST WORKERS,FALSE,2926,1483174,0.001972796
1986,WISCONSIN,WI,US SENATE,statewide,EDWARD R. GARVEY,DEMOCRAT,FALSE,702963,1483174,0.473958551
1986,WISCONSIN,WI,US SENATE,statewide,ROBERT W. KASTEN JR.,REPUBLICAN,FALSE,754573,1483174,0.508755547
1988,ARIZONA,AZ,US SENATE,statewide,ED FINKELSTEIN,NEW ALLIANCE,FALSE,5195,1164539,0.004460993
1988,ARIZONA,AZ,US SENATE,statewide,RICK TOMPKINS,LIBERTARIAN,FALSE,20849,1164539,0.017903222
1988,ARIZONA,AZ,US SENATE,statewide,,,TRUE,32,1164539,2.74787E-05
1988,ARIZONA,AZ,US SENATE,statewide,KEITH DEGREEN,REPUBLICAN,FALSE,478060,1164539,0.410514375
1988,ARIZONA,AZ,US SENATE,statewide,DENNIS DECONCINI,DEMOCRAT,FALSE,660403,1164539,0.567093932
1988,CALIFORNIA,CA,US SENATE,statewide,PETE WILSON,REPUBLICAN,FALSE,5143409,9743598,0.52787574
1988,CALIFORNIA,CA,US SENATE,statewide,,,TRUE,51,9743598,5.23421E-06
1988,CALIFORNIA,CA,US SENATE,statewide,M. ELIZABETH MUNOZ,PEACE AND FREEDOM,FALSE,166600,9743598,0.017098407
1988,CALIFORNIA,CA,US SENATE,statewide,MERTON D. SHORT,INDEPENDENT,FALSE,66288,9743598,0.006803236
1988,CALIFORNIA,CA,US SENATE,statewide,LEO MCCARTHY,DEMOCRAT,FALSE,4287253,9743598,0.440007172
1988,CALIFORNIA,CA,US SENATE,statewide,JACK DEAN,LIBERTARIAN,FALSE,79997,9743598,0.008210211
1988,CONNECTICUT,CT,US SENATE,statewide,"HOWARD AVORY GRAYSON, JR.",LIBERTARIAN,FALSE,12409,1383526,0.008969112
1988,CONNECTICUT,CT,US SENATE,statewide,,,TRUE,10,1383526,7.22791E-06
1988,CONNECTICUT,CT,US SENATE,statewide,"LOWELL P. WEICHER, JR.",REPUBLICAN,FALSE,678454,1383526,0.490380376
1988,CONNECTICUT,CT,US SENATE,statewide,JOE LIEBERMAN,DEMOCRAT,FALSE,688499,1383526,0.497640811
1988,CONNECTICUT,CT,US SENATE,statewide,MELISSA M. FISHER,NEW ALLIANCE,FALSE,4154,1383526,0.003002473
1988,DELAWARE,DE,US SENATE,statewide,"WILLIAM V. ROTH, JR.",REPUBLICAN,FALSE,151115,243493,0.620613324
1988,DELAWARE,DE,US SENATE,statewide,S. B. WOO,DEMOCRAT,FALSE,92378,243493,0.379386676
1988,FLORIDA,FL,US SENATE,statewide,CONNIE MACK,REPUBLICAN,FALSE,2051071,4068209,0.504170508
1988,FLORIDA,FL,US SENATE,statewide,,,TRUE,585,4068209,0.000143798
1988,FLORIDA,FL,US SENATE,statewide,BUDDY MACKAY,DEMOCRAT,FALSE,2016553,4068209,0.495685694
1988,HAWAII,HI,US SENATE,statewide,KEN SCHOOLLAND,LIBERTARIAN,FALSE,8948,323876,0.027627858
1988,HAWAII,HI,US SENATE,statewide,SPARK MATSUNAGA,DEMOCRAT,FALSE,247941,323876,0.765542986
1988,HAWAII,HI,US SENATE,statewide,MARIA M. HUSTACE,REPUBLICAN,FALSE,66987,323876,0.206829157
1988,INDIANA,IN,US SENATE,statewide,JACK WICKES,DEMOCRAT,FALSE,668778,2099303,0.31857145
1988,INDIANA,IN,US SENATE,statewide,RICHARD G. LUGAR,REPUBLICAN,FALSE,1430525,2099303,0.68142855
1988,MAINE,ME,US SENATE,statewide,GEORGE J. MITCHELL,DEMOCRAT,FALSE,452581,556745,0.81290537
1988,MAINE,ME,US SENATE,statewide,JASPER S. WYMAN,REPUBLICAN,FALSE,104164,556745,0.18709463
1988,MARYLAND,MD,US SENATE,statewide,ALAN L. KEYES,REPUBLICAN,FALSE,617537,1617065,0.381887556
1988,MARYLAND,MD,US SENATE,statewide,PAUL S. SARBANES,DEMOCRAT,FALSE,999166,1617065,0.617888582
1988,MARYLAND,MD,US SENATE,statewide,,,TRUE,362,1617065,0.000223862
1988,MASSACHUSETTS,MA,US SENATE,statewide,FREDA LEE NASON,LIBERTARIAN,FALSE,13199,2606225,0.005064413
1988,MASSACHUSETTS,MA,US SENATE,statewide,OTHER,,FALSE,207,2606225,7.94252E-05
1988,MASSACHUSETTS,MA,US SENATE,statewide,EDWARD M. KENNEDY,DEMOCRAT,FALSE,1693344,2606225,0.649730549
1988,MASSACHUSETTS,MA,US SENATE,statewide,JOSEPH D. MALONE,REPUBLICAN,FALSE,884267,2606225,0.339290353
1988,MASSACHUSETTS,MA,US SENATE,statewide,MARY FRIDLEY,NEW ALLIANCE,FALSE,15208,2606225,0.00583526
1988,MICHIGAN,MI,US SENATE,statewide,OTHER,,FALSE,4877,3505985,0.00139105
1988,MICHIGAN,MI,US SENATE,statewide,DICK M. JACOBS,LIBERTARIAN,FALSE,27116,3505985,0.007734203
1988,MICHIGAN,MI,US SENATE,statewide,JIM DUNN,REPUBLICAN,FALSE,1348219,3505985,0.384547852
1988,MICHIGAN,MI,US SENATE,statewide,SALLY BIER,WORKERS AGAINST CONCESSIONS,FALSE,8908,3505985,0.002540798
1988,MICHIGAN,MI,US SENATE,statewide,"DONALD W. RIEGLE, JR.",DEMOCRAT,FALSE,2116865,3505985,0.603786097
1988,MINNESOTA,MN,US SENATE,statewide,,,TRUE,415,2093953,0.00019819
1988,MINNESOTA,MN,US SENATE,statewide,POLLY MANN,PROGRESSIVE ISSUES,FALSE,44474,2093953,0.021239254
1988,MINNESOTA,MN,US SENATE,statewide,WENDY LYONS,SOCIALIST WORKERS,FALSE,3105,2093953,0.001482841
1988,MINNESOTA,MN,US SENATE,statewide,ARLEN OVERVIG,LIBERTARIAN,FALSE,4039,2093953,0.001928888
1988,MINNESOTA,MN,US SENATE,statewide,DAVE DURENBERGER,REPUBLICAN,FALSE,1176210,2093953,0.561717479
1988,MINNESOTA,MN,US SENATE,statewide,"HUBERT H. ""SKIP"" HUMPHREY III",DEMOCRATIC-FARMER-LABOR,FALSE,856694,2093953,0.409127617
1988,MINNESOTA,MN,US SENATE,statewide,DERRICK P. GRIMMER,GRASSROOTS,FALSE,9016,2093953,0.004305732
1988,MISSISSIPPI,MS,US SENATE,statewide,TRENT LOTT,REPUBLICAN,FALSE,510380,946719,0.539104
1988,MISSISSIPPI,MS,US SENATE,statewide,WAYNE DOWDY,DEMOCRAT,FALSE,436339,946719,0.460896
1988,MISSOURI,MO,US SENATE,statewide,JOHN C. DANFORTH,REPUBLICAN,FALSE,1407416,2078875,0.677008478
1988,MISSOURI,MO,US SENATE,statewide,JOHN GUZE,LIBERTARIAN,FALSE,11410,2078875,0.005488545
1988,MISSOURI,MO,US SENATE,statewide,JEREMIAH W. (JAY) NIXON,DEMOCRAT,FALSE,660045,2078875,0.317501052
1988,MISSOURI,MO,US SENATE,statewide,,,TRUE,4,2078875,1.92412E-06
1988,MONTANA,MT,US SENATE,statewide,CONRAD BURNS,REPUBLICAN,FALSE,189445,365254,0.518666462
1988,MONTANA,MT,US SENATE,statewide,JOHN MELCHER,DEMOCRAT,FALSE,175809,365254,0.481333538
1988,NEBRASKA,NE,US SENATE,statewide,BOB KERREY,DEMOCRAT,FALSE,378717,667860,0.567060462
1988,NEBRASKA,NE,US SENATE,statewide,ERNIE CHAMBERS,NEW ALLIANCE,FALSE,10372,667860,0.015530201
1988,NEBRASKA,NE,US SENATE,statewide,,,TRUE,521,667860,0.000780104
1988,NEBRASKA,NE,US SENATE,statewide,DAVE KARNES,REPUBLICAN,FALSE,278250,667860,0.416629234
1988,NEVADA,NV,US SENATE,statewide,CHIC HECHT,REPUBLICAN,FALSE,161336,342407,0.471181956
1988,NEVADA,NV,US SENATE,statewide,RICHARD H. BRYAN,DEMOCRAT,FALSE,175548,342407,0.512688117
1988,NEVADA,NV,US SENATE,statewide,JAMES FRYE,LIBERTARIAN,FALSE,5523,342407,0.016129927
1988,NEW JERSEY,NJ,US SENATE,statewide,JOSEPH F. JOB,INDEPENDENT,FALSE,20091,2987634,0.006724719
1988,NEW JERSEY,NJ,US SENATE,statewide,FRANK R. LAUTENBERG,DEMOCRAT,FALSE,1599905,2987634,0.535509035
1988,NEW JERSEY,NJ,US SENATE,statewide,THOMAS A. FISKE,SOCIALIST WORKERS,FALSE,5347,2987634,0.001789711
1988,NEW JERSEY,NJ,US SENATE,statewide,JERRY ZELDIN,LIBERTARIAN,FALSE,12354,2987634,0.004135045
1988,NEW JERSEY,NJ,US SENATE,statewide,PETER M. DAWKINS,REPUBLICAN,FALSE,1349937,2987634,0.451841491
1988,NEW MEXICO,NM,US SENATE,statewide,JEFF BINGAMAN,DEMOCRAT,FALSE,321983,508598,0.633079564
1988,NEW MEXICO,NM,US SENATE,statewide,BILL VALENTINE,REPUBLICAN,FALSE,186579,508598,0.366849653
1988,NEW MEXICO,NM,US SENATE,statewide,,,TRUE,36,508598,7.07828E-05
1988,NEW YORK,NY,US SENATE,statewide,WILLIAM P. MCMILLEN,LIBERTARIAN,FALSE,12064,6040980,0.001997027
1988,NEW YORK,NY,US SENATE,statewide,ROBERT R. MCMILLAN,CONSERVATIVE,FALSE,189226,6040980,0.031323726
1988,NEW YORK,NY,US SENATE,statewide,LYDIA BAYONETA,WORKERS WORLD,FALSE,13573,6040980,0.002246821
1988,NEW YORK,NY,US SENATE,statewide,"JAMES E. HARRIS, JR.",SOCIALIST WORKERS,FALSE,11239,6040980,0.00186046
1988,NEW YORK,NY,US SENATE,statewide,ROBERT R. MCMILLAN,REPUBLICAN,FALSE,1686558,6040980,0.279186159
1988,NEW YORK,NY,US SENATE,statewide,OTHER,,FALSE,56,6040980,9.27002E-06
1988,NEW YORK,NY,US SENATE,statewide,DANIEL PATRICK MOYNIHAN,LIBERAL,FALSE,141471,6040980,0.023418551
1988,NEW YORK,NY,US SENATE,statewide,CHARLENE MITCHELL,INDEPENDENT PROGRESSIVE LINE,FALSE,14770,6040980,0.002444968
1988,NEW YORK,NY,US SENATE,statewide,ADELLE R. NATHANSON,RIGHT TO LIFE,FALSE,64845,6040980,0.010734186
1988,NEW YORK,NY,US SENATE,statewide,DANIEL PATRICK MOYNIHAN,DEMOCRAT,FALSE,3907178,6040980,0.646778834
1988,NORTH DAKOTA,ND,US SENATE,statewide,QUENTIN N. BURDICK,DEMOCRAT,FALSE,171899,289170,0.594456548
1988,NORTH DAKOTA,ND,US SENATE,statewide,EARL STRINDEN,REPUBLICAN,FALSE,112937,289170,0.390555728
1988,NORTH DAKOTA,ND,US SENATE,statewide,KENNETH C. GARDNER,LIBERTARIAN,FALSE,4334,289170,0.014987723
1988,OHIO,OH,US SENATE,statewide,,,TRUE,151,4352905,3.46895E-05
1988,OHIO,OH,US SENATE,statewide,HOWARD M. METZENBAUM,DEMOCRAT,FALSE,2480038,4352905,0.569743194
1988,OHIO,OH,US SENATE,statewide,GEORGE V VOINOVICH,REPUBLICAN,FALSE,1872716,4352905,0.430222116
1988,PENNSYLVANIA,PA,US SENATE,statewide,JOE VIGNOLA,DEMOCRAT,FALSE,1416764,4366598,0.324454873
1988,PENNSYLVANIA,PA,US SENATE,statewide,SAM BLANCATO,NEW ALLIANCE,FALSE,4569,4366598,0.001046352
1988,PENNSYLVANIA,PA,US SENATE,statewide,JOHN HEINZ,REPUBLICAN,FALSE,2901715,4366598,0.664525335
1988,PENNSYLVANIA,PA,US SENATE,statewide,DARCY RICHARDSON,CONSUMER,FALSE,25273,4366598,0.005787801
1988,PENNSYLVANIA,PA,US SENATE,statewide,HENRY HALLER III,LIBERTARIAN,FALSE,11822,4366598,0.002707371
1988,PENNSYLVANIA,PA,US SENATE,statewide,"SAMUEL CROSS, JR.",POPULIST,FALSE,6455,4366598,0.001478268
1988,RHODE ISLAND,RI,US SENATE,statewide,RICHARD A. LICHT,DEMOCRAT,FALSE,180717,397990,0.454074223
1988,RHODE ISLAND,RI,US SENATE,statewide,JOHN H. CHAFFEE,REPUBLICAN,FALSE,217273,397990,0.545925777
1988,TENNESSEE,TN,US SENATE,statewide,,,TRUE,45,1567181,2.8714E-05
1988,TENNESSEE,TN,US SENATE,statewide,JIM SASSER,DEMOCRAT,FALSE,1020061,1567181,0.65088908
1988,TENNESSEE,TN,US SENATE,statewide,BILL ANDERSEN,REPUBLICAN,FALSE,541033,1567181,0.345226876
1988,TENNESSEE,TN,US SENATE,statewide,KHALIL-ULLAH AL-MUHAYMIN,INDEPENDENT,FALSE,6042,1567181,0.00385533
1988,TEXAS,TX,US SENATE,statewide,,,TRUE,583,5323606,0.000109512
1988,TEXAS,TX,US SENATE,statewide,LLOYD BENTSEN,DEMOCRAT,FALSE,3149806,5323606,0.591667753
1988,TEXAS,TX,US SENATE,statewide,BEAU BOULTER,REPUBLICAN,FALSE,2129228,5323606,0.399959727
1988,TEXAS,TX,US SENATE,statewide,JEFF DAIELL,LIBERTARIAN,FALSE,43989,5323606,0.008263008
1988,UTAH,UT,US SENATE,statewide,BRIAN H. MOSS,DEMOCRAT,FALSE,203364,640702,0.317408093
1988,UTAH,UT,US SENATE,statewide,ROBERT J. SMITH,AMERICAN,FALSE,6016,640702,0.009389701
1988,UTAH,UT,US SENATE,statewide,ORRIN G. HATCH,REPUBLICAN,FALSE,430089,640702,0.671277755
1988,UTAH,UT,US SENATE,statewide,WILLIAM M. ARTH,SOCIALIST WORKERS,FALSE,1233,640702,0.001924452
1988,VERMONT,VT,US SENATE,statewide,SCATTER,,FALSE,508,240108,0.002115715
1988,VERMONT,VT,US SENATE,statewide,JERRY LEVY,LIBERTY UNION,FALSE,2533,240108,0.010549419
1988,VERMONT,VT,US SENATE,statewide,KING MILNE,INDEPENDENT,FALSE,2424,240108,0.010095457
1988,VERMONT,VT,US SENATE,statewide,JAMES M. JEFFORDS,REPUBLICAN,FALSE,163183,240108,0.679623336
1988,VERMONT,VT,US SENATE,statewide,BILL GRAY,DEMOCRAT,FALSE,71460,240108,0.297616073
1988,VIRGINIA,VA,US SENATE,statewide,CHARLES S. ROBB,DEMOCRAT,FALSE,1474086,2068897,0.712498496
1988,VIRGINIA,VA,US SENATE,statewide,,,TRUE,1159,2068897,0.000560202
1988,VIRGINIA,VA,US SENATE,statewide,MAURICE A. DAWKINS,REPUBLICAN,FALSE,593652,2068897,0.286941303
1988,WASHINGTON,WA,US SENATE,statewide,SLADE GORTON,REPUBLICAN,FALSE,944359,1848542,0.510866943
1988,WASHINGTON,WA,US SENATE,statewide,MIKE LOWRY,DEMOCRAT,FALSE,904183,1848542,0.489133057
1988,WEST VIRGINIA,WV,US SENATE,statewide,ROBERT C. BYRD,DEMOCRAT,FALSE,410983,634547,0.647679368
1988,WEST VIRGINIA,WV,US SENATE,statewide,M. JAY WOLFE,REPUBLICAN,FALSE,223564,634547,0.352320632
1988,WISCONSIN,WI,US SENATE,statewide,SCATTER,,FALSE,933,2168190,0.000430313
1988,WISCONSIN,WI,US SENATE,statewide,GEORGE W. ZAEHRINGER,INDEPENDENT,FALSE,3965,2168190,0.001828714
1988,WISCONSIN,WI,US SENATE,statewide,ARLYN F. WOLLENBURG,INDEPENDENT,FALSE,1198,2168190,0.000552535
1988,WISCONSIN,WI,US SENATE,statewide,HERBERT H. KOHL,DEMOCRAT,FALSE,1128625,2168190,0.520537868
1988,WISCONSIN,WI,US SENATE,statewide,SUSAN ENGELEITER,REPUBLICAN,FALSE,1030440,2168190,0.475253553
1988,WISCONSIN,WI,US SENATE,statewide,PATRICIA GROGAN,INDEPENDENT,FALSE,3029,2168190,0.001397018
1988,WYOMING,WY,US SENATE,statewide,JOHN P. VINICH,DEMOCRAT,FALSE,89821,180964,0.49634734
1988,WYOMING,WY,US SENATE,statewide,MALCOLM WALLOP,REPUBLICAN,FALSE,91143,180964,0.50365266
1990,ALABAMA,AL,US SENATE,statewide,,,TRUE,150,1185154,0.000126566
1990,ALABAMA,AL,US SENATE,statewide,HOWELL HEFLIN,DEMOCRAT,FALSE,717814,1185154,0.605671499
1990,ALABAMA,AL,US SENATE,statewide,BILL CABANISS,REPUBLICAN,FALSE,467190,1185154,0.394201935
1990,ALASKA,AK,US SENATE,statewide,MICHAEL BEASLEY,DEMOCRAT,FALSE,61152,189957,0.321925488
1990,ALASKA,AK,US SENATE,statewide,TED STEVENS,REPUBLICAN,FALSE,125806,189957,0.662286728
1990,ALASKA,AK,US SENATE,statewide,,,TRUE,2999,189957,0.015787784
1990,ARKANSAS,AR,US SENATE,statewide,DAVID H. PRYOR,DEMOCRAT,FALSE,493910,494735,0.998332441
1990,ARKANSAS,AR,US SENATE,statewide,,,TRUE,825,494735,0.001667559
1990,COLORADO,CO,US SENATE,statewide,EARL F. DODGE,PROHIBITION,FALSE,11801,1022027,0.011546662
1990,COLORADO,CO,US SENATE,statewide,JOHN HECKMAN,CONCERNS OF PEOPLE,FALSE,15432,1022027,0.015099405
1990,COLORADO,CO,US SENATE,statewide,HANK BROWN,REPUBLICAN,FALSE,569048,1022027,0.556783725
1990,COLORADO,CO,US SENATE,statewide,JOSIE HEATH,DEMOCRAT,FALSE,425746,1022027,0.416570208
1990,DELAWARE,DE,US SENATE,statewide,JOSEPH R. BIDEN JR.,DEMOCRAT,FALSE,112918,180157,0.626775535
1990,DELAWARE,DE,US SENATE,statewide,M. JANE BRADY,REPUBLICAN,FALSE,64554,180157,0.358320798
1990,DELAWARE,DE,US SENATE,statewide,,,TRUE,5,180157,2.77536E-05
1990,DELAWARE,DE,US SENATE,statewide,LEE ROSENBAUM,LIBERTARIAN,FALSE,2680,180157,0.014875914
1990,GEORGIA,GA,US SENATE,statewide,SAM NUNN,DEMOCRAT,FALSE,1033439,1033439,1
1990,HAWAII,HI,US SENATE,statewide,KEN SCHOOLLAND,LIBERTARIAN,FALSE,4787,349666,0.013690207
1990,HAWAII,HI,US SENATE,statewide,PATRICIA F. SAIKI,REPUBLICAN,FALSE,155978,349666,0.446077114
1990,HAWAII,HI,US SENATE,statewide,DANIEL K. AKAKA,DEMOCRAT,FALSE,188901,349666,0.540232679
1990,IDAHO,ID,US SENATE,statewide,RON J. TWILEGAR,DEMOCRAT,FALSE,122295,315936,0.387087891
1990,IDAHO,ID,US SENATE,statewide,LARRY E. CRAIG,REPUBLICAN,FALSE,193641,315936,0.612912109
1990,ILLINOIS,IL,US SENATE,statewide,PAUL SIMON,DEMOCRAT,FALSE,2115377,3251005,0.650684019
1990,ILLINOIS,IL,US SENATE,statewide,LYNN MARTIN,REPUBLICAN,FALSE,1135628,3251005,0.349315981
1990,INDIANA,IN,US SENATE,statewide,BARON P. HILL,DEMOCRAT,FALSE,696639,1502687,0.463595546
1990,INDIANA,IN,US SENATE,statewide,DAN COATS,REPUBLICAN,FALSE,806048,1502687,0.536404454
1990,IOWA,IA,US SENATE,statewide,SCATTER,,FALSE,1089,983933,0.001106783
1990,IOWA,IA,US SENATE,statewide,TOM HARKIN,DEMOCRAT,FALSE,535975,983933,0.544727131
1990,IOWA,IA,US SENATE,statewide,THOMAS J. TAUKE,REPUBLICAN,FALSE,446869,983933,0.454166087
1990,KANSAS,KS,US SENATE,statewide,DICK WILLIAMS,DEMOCRAT,FALSE,207491,786235,0.263904558
1990,KANSAS,KS,US SENATE,statewide,NANCY LANDON KASSEBAUM,REPUBLICAN,FALSE,578605,786235,0.73591865
1990,KANSAS,KS,US SENATE,statewide,,,TRUE,139,786235,0.000176792
1990,KENTUCKY,KY,US SENATE,statewide,MITCH MCCONNELL,REPUBLICAN,FALSE,478034,916010,0.521865482
1990,KENTUCKY,KY,US SENATE,statewide,G. HARVEY SLOANE,DEMOCRAT,FALSE,437976,916010,0.478134518
1990,LOUISIANA,LA,US SENATE,statewide,J. BENNETT JOHNSTON,DEMOCRAT,FALSE,1,1,1
1990,MAINE,ME,US SENATE,statewide,OTHER,,FALSE,100,520320,0.000192189
1990,MAINE,ME,US SENATE,statewide,WILLIAM S. COHEN,REPUBLICAN,FALSE,319167,520320,0.613405212
1990,MAINE,ME,US SENATE,statewide,NEIL ROLDE,DEMOCRAT,FALSE,201053,520320,0.386402598
1990,MASSACHUSETTS,MA,US SENATE,statewide,JOHN F. KERRY,DEMOCRAT,FALSE,1321712,2424579,0.545130515
1990,MASSACHUSETTS,MA,US SENATE,statewide,JIM RAPPAPORT,REPUBLICAN,FALSE,992917,2424579,0.409521406
1990,MASSACHUSETTS,MA,US SENATE,statewide,OTHER,,FALSE,109950,2424579,0.045348079
1990,MICHIGAN,MI,US SENATE,statewide,SUSAN FARQUHAR,WORKERS WORLD,FALSE,32796,2560494,0.012808466
1990,MICHIGAN,MI,US SENATE,statewide,CARL LEVIN,DEMOCRAT,FALSE,1471753,2560494,0.574792599
1990,MICHIGAN,MI,US SENATE,statewide,,,TRUE,250,2560494,9.76374E-05
1990,MICHIGAN,MI,US SENATE,statewide,BILL SCHUETTE,REPUBLICAN,FALSE,1055695,2560494,0.412301298
1990,MINNESOTA,MN,US SENATE,statewide,RUDY BOSCHWITZ,REPUBLICAN,FALSE,864375,1808045,0.478071619
1990,MINNESOTA,MN,US SENATE,statewide,PAUL DAVID WELLSTONE,DEMOCRAT,FALSE,911999,1808045,0.504411671
1990,MINNESOTA,MN,US SENATE,statewide,,,TRUE,1851,1808045,0.001023758
1990,MINNESOTA,MN,US SENATE,statewide,RUSSELL B. BENTLEY,GRASSROOTS,FALSE,29820,1808045,0.016492952
1990,MISSISSIPPI,MS,US SENATE,statewide,THAD COCHRAN,REPUBLICAN,FALSE,274244,274244,1
1990,MONTANA,MT,US SENATE,statewide,MAX BAUCUS,DEMOCRAT,FALSE,217563,319336,0.681298068
1990,MONTANA,MT,US SENATE,statewide,ALLEN C. KOLSTAD,REPUBLICAN,FALSE,93836,319336,0.293847233
1990,MONTANA,MT,US SENATE,statewide,WESTLEY F. DEITCHLER,LIBERTARIAN,FALSE,7937,319336,0.024854698
1990,NEBRASKA,NE,US SENATE,statewide,HAL DAUB,REPUBLICAN,FALSE,243013,593828,0.409231293
1990,NEBRASKA,NE,US SENATE,statewide,J. JAMES EXON,DEMOCRAT,FALSE,349779,593828,0.589024095
1990,NEBRASKA,NE,US SENATE,statewide,,,TRUE,1036,593828,0.001744613
1990,NEW HAMPSHIRE,NH,US SENATE,statewide,JOHN G. ELSNAU,LIBERTARIAN,FALSE,9717,291393,0.033346717
1990,NEW HAMPSHIRE,NH,US SENATE,statewide,ROBERT C. SMITH,REPUBLICAN,FALSE,189792,291393,0.651326559
1990,NEW HAMPSHIRE,NH,US SENATE,statewide,JOHN A. DURKIN,DEMOCRAT,FALSE,91299,291393,0.313319126
1990,NEW HAMPSHIRE,NH,US SENATE,statewide,,,TRUE,585,291393,0.002007598
1990,NEW JERSEY,NJ,US SENATE,statewide,LOUIS M. STEFANELLI,LIBERTARIAN,FALSE,13988,1938454,0.00721606
1990,NEW JERSEY,NJ,US SENATE,statewide,JOHN L. KUCEK,POPULIST,FALSE,19978,1938454,0.010306151
1990,NEW JERSEY,NJ,US SENATE,statewide,CHRISTINE TODD WHITMAN,REPUBLICAN,FALSE,918874,1938454,0.474024145
1990,NEW JERSEY,NJ,US SENATE,statewide,BILL BRADLEY,DEMOCRAT,FALSE,977810,1938454,0.504427755
1990,NEW JERSEY,NJ,US SENATE,statewide,DON MACKLE,SOCIALIST WORKERS,FALSE,7804,1938454,0.004025889
1990,NEW MEXICO,NM,US SENATE,statewide,TOM R. BENAVIDES,DEMOCRAT,FALSE,110033,406938,0.270392541
1990,NEW MEXICO,NM,US SENATE,statewide,PETE V. DOMENICI,REPUBLICAN,FALSE,296712,406938,0.729133185
1990,NEW MEXICO,NM,US SENATE,statewide,,,TRUE,193,406938,0.000474274
1990,NORTH CAROLINA,NC,US SENATE,statewide,,,TRUE,681,2069585,0.000329051
1990,NORTH CAROLINA,NC,US SENATE,statewide,HARVEY B. GANTT,DEMOCRAT,FALSE,981573,2069585,0.474284941
1990,NORTH CAROLINA,NC,US SENATE,statewide,JESSE HELMS,REPUBLICAN,FALSE,1087331,2069585,0.525386007
1990,OKLAHOMA,OK,US SENATE,statewide,STEPHEN JONES,REPUBLICAN,FALSE,148814,884498,0.168246847
1990,OKLAHOMA,OK,US SENATE,statewide,DAVID L. BOREN,DEMOCRAT,FALSE,735684,884498,0.831753153
1990,OREGON,OR,US SENATE,statewide,MARK O. HATFIELD,REPUBLICAN,FALSE,590095,1099255,0.536813569
1990,OREGON,OR,US SENATE,statewide,OTHER,,FALSE,1417,1099255,0.001289055
1990,OREGON,OR,US SENATE,statewide,HARRY LONSDALE,DEMOCRAT,FALSE,507743,1099255,0.461897376
1990,RHODE ISLAND,RI,US SENATE,statewide,CLAUDINE SCHNEIDER,REPUBLICAN,FALSE,138947,364062,0.38165752
1990,RHODE ISLAND,RI,US SENATE,statewide,CLAIBORNE PELL,DEMOCRAT,FALSE,225105,364062,0.618315012
1990,RHODE ISLAND,RI,US SENATE,statewide,,,TRUE,10,364062,2.74678E-05
1990,SOUTH CAROLINA,SC,US SENATE,statewide,,,TRUE,450,750716,0.000599428
1990,SOUTH CAROLINA,SC,US SENATE,statewide,STROM THURMOND,REPUBLICAN,FALSE,482032,750716,0.642096345
1990,SOUTH CAROLINA,SC,US SENATE,statewide,BOB CUNNINGHAM,DEMOCRAT,FALSE,244112,750716,0.325172236
1990,SOUTH CAROLINA,SC,US SENATE,statewide,WILLIAM H. GRIFFIN,LIBERTARIAN,FALSE,13805,750716,0.018389111
1990,SOUTH CAROLINA,SC,US SENATE,statewide,MARION C. METTS,AMERICAN,FALSE,10317,750716,0.01374288
1990,SOUTH DAKOTA,SD,US SENATE,statewide,TED MUENSTER,DEMOCRAT,FALSE,116727,258976,0.450725164
